source_file,row_index,title,provider,action,matched_id,notes
scholarships_gemini_corrected.csv,22,NavotaAs Fisherfolk Children Scholarship Track,Navotas City Government,skip,100,exact dedupe_key match
scholarships_gemini_corrected.csv,23,Marikina City Medical Scholarship Program,Marikina City Government,skip,35,exact dedupe_key match
scholarships_gemini_corrected.csv,24,Parañaque City Tertiary Education Financial Assistance Program,Parañaque City Government,skip,50,exact dedupe_key match
scholarships_gemini_corrected.csv,25,Cebu Province CP GIFTS Program,Cebu Provincial Government,skip,49,exact dedupe_key match
scholarships_gemini_corrected.csv,26,Cebu City College Scholarship Program,Cebu City Government,skip,36,exact dedupe_key match
scholarships_gemini_corrected.csv,27,Davao City STEP FA Category A,Davao City Government (EBSU),skip,101,exact dedupe_key match
scholarships_gemini_corrected.csv,28,Davao City STEP FA Category B,Davao City Government (EBSU),skip,37,exact dedupe_key match
scholarships_gemini_corrected.csv,29,Davao City STEP FA Category C,Davao City Government (EBSU),skip,102,exact dedupe_key match
scholarships_gemini_corrected.csv,30,Davao City Special Educational Assistance Program for Lumad,Davao City Government (EBSU),skip,38,exact dedupe_key match
scholarships_gemini_corrected.csv,31,Davao City Medical and Law Education Assistance Program,Davao City Government (EBSU),skip,103,exact dedupe_key match
scholarships_gemini_corrected.csv,32,Bislig City Collegiate Scholarship Program,Bislig City Government,skip,39,exact dedupe_key match
scholarships_gemini_corrected.csv,33,Tabuk City College Academic Scholarship,Tabuk City Government,skip,51,exact dedupe_key match
scholarships_gemini_corrected.csv,34,Ateneo de Manila University Financial Aid Grant,Ateneo de Manila University,skip,40,exact dedupe_key match
scholarships_gemini_corrected.csv,35,Ateneo Freshman Merit Scholarship,Ateneo de Manila University,skip,104,exact dedupe_key match
scholarships_gemini_corrected.csv,36,Ateneo Directors List Scholarship,Ateneo de Manila University,skip,41,exact dedupe_key match
scholarships_gemini_corrected.csv,37,Ateneo Magis Scholarship,Ateneo de Manila University,skip,105,exact dedupe_key match
scholarships_gemini_corrected.csv,38,Ateneo Law School Financial Aid Program,Ateneo Law School,skip,42,exact dedupe_key match
scholarships_gemini_corrected.csv,39,DLSU St La Salle Financial Assistance Grant,De La Salle University,skip,106,exact dedupe_key match
scholarships_gemini_corrected.csv,40,DLSU Star Scholars Program,De La Salle University,skip,43,exact dedupe_key match
scholarships_gemini_corrected.csv,41,DLSU Vaugirard Scholarship Program,De La Salle University,skip,107,exact dedupe_key match
scholarships_gemini_corrected.csv,42,DLSU Archer Achievers Scholarship,De La Salle University,skip,44,exact dedupe_key match
scholarships_gemini_corrected.csv,43,UST San Lorenzo Ruiz Student Assistance Scholarship,University of Santo Tomas,skip,108,exact dedupe_key match
scholarships_gemini_corrected.csv,44,UST San Martin de Porres Equity Scholarship,University of Santo Tomas,skip,45,exact dedupe_key match
scholarships_gemini_corrected.csv,45,UST Santo Tomas Academic Scholarship,University of Santo Tomas,skip,109,exact dedupe_key match
scholarships_gemini_corrected.csv,46,Mindanao State University SASE Academic Scholarship,Mindanao State University System,skip,46,exact dedupe_key match
scholarships_gemini_corrected.csv,47,NCIP Educational Assistance Program Degree Track,National Commission on Indigenous Peoples,skip,52,exact dedupe_key match
scholarships_gemini_corrected.csv,48,NCIP Merit Based Scholarship Program,National Commission on Indigenous Peoples,skip,53,exact dedupe_key match
scholarships_gemini_corrected.csv,49,DOH Medical Scholarship and Return Service Program,Department of Health,skip,125,exact dedupe_key match
scholarships_gemini_corrected.csv,50,Department of Agriculture ACEF GIAHEP SUC Track,Department of Agriculture,skip,55,exact dedupe_key match
scholarships_gemini_corrected.csv,51,OWWA Educational Livelihood Assistance Program College Track,Overseas Workers Welfare Administration,new,,no catalog match
scholarships_gemini_corrected.csv,52,AFPEBSO DND CHED PASUC Scholarship,Armed Forces of the Philippines (AFPEBSO),skip,56,exact dedupe_key match
scholarships_gemini_corrected.csv,53,AFPSLAI Educational Grant Program,Armed Forces of the Philippines (AFPSLAI),skip,62,exact dedupe_key match
scholarships_gemini_corrected.csv,54,DSWD AICS Educational Assistance,Department of Social Welfare and Development,skip,57,exact dedupe_key match
scholarships_gemini_corrected.csv,55,Megaworld Foundation Scholarship Program,Megaworld Foundation,skip,61,exact dedupe_key match
scholarships_gemini_corrected.csv,56,Security Bank Foundation State Universities Scholarship,Security Bank Foundation,skip,58,exact dedupe_key match
scholarships_gemini_corrected.csv,57,Security Bank Foundation Agency Personnel Scholarship,Security Bank Foundation,skip,111,exact dedupe_key match
scholarships_gemini_corrected.csv,58,Caritas Manila YSLEP Scholarship Program,Caritas Manila,skip,59,exact dedupe_key match
scholarships_gemini_corrected.csv,59,TESDA Training for Work Scholarship Program,Technical Education and Skills Development Authority,skip,112,exact dedupe_key match
scholarships_gemini_corrected.csv,60,TESDA Special Training for Employment Program,Technical Education and Skills Development Authority,skip,113,exact dedupe_key match
scholarships_gemini_corrected.csv,61,Erasmus Mundus Joint Masters Scholarship,European Union,skip,63,exact dedupe_key match
scholarships_gemini_corrected.csv,62,Taiwan ICDF Higher Education Scholarship Program,Taiwan International Cooperation and Development Fund,skip,60,exact dedupe_key match
scholarships_gemini_batch2.csv,2,Aboitiz Future Leaders Scholarship Program,Aboitiz Foundation,new,,no catalog match
scholarships_gemini_batch2.csv,3,Bagong Pilipinas Merit Scholarship Program (BPMSP) - Higher Education Track,Commission on Higher Education,skip,76,exact dedupe_key match
scholarships_gemini_batch2.csv,4,Bagong Pilipinas Merit Scholarship Program (BPMSP) - TVET Track,Technical Education and Skills Development Authority,skip,77,exact dedupe_key match
scholarships_gemini_batch2.csv,5,GSIS Subsidy for STEM Program (GSSP),Government Service Insurance System,skip,78,exact dedupe_key match
scholarships_gemini_batch2.csv,6,CHED Merit Scholarship Program (CMSP),Commission on Higher Education,new,,no catalog match
scholarships_gemini_batch2.csv,7,DOST-SEI Undergraduate Scholarships (RA 7687 / Merit),DOST-SEI,skip,73,exact dedupe_key match
scholarships_gemini_batch2.csv,8,DOST-SEI Junior Level Science Scholarship (JLSS),DOST-SEI,new,,no catalog match
scholarships_gemini_batch2.csv,9,SM Foundation College Scholarship Program,SM Foundation,new,,no catalog match
scholarships_gemini_batch2.csv,10,MEXT Scholarship - Research Category,JICC / Embassy of Japan,skip,80,exact dedupe_key match
scholarships_gemini_batch2.csv,11,MEXT Scholarship - Undergraduate Track,JICC / Embassy of Japan,skip,81,exact dedupe_key match
scholarships_gemini_batch2.csv,12,MEXT Scholarship - Specialized Training Track,JICC / Embassy of Japan,skip,82,exact dedupe_key match
scholarships_gemini_batch2.csv,13,MEXT Scholarship - College of Technology (KOSEN),JICC / Embassy of Japan,skip,83,exact dedupe_key match
scholarships_gemini_batch2.csv,14,GSIS Educational Subsidy Program (GESP),Government Service Insurance System,skip,84,exact dedupe_key match
scholarships_gemini_batch2.csv,15,OWWA Education for Development Scholarship (EDSP),Overseas Workers Welfare Administration,skip,85,exact dedupe_key match
scholarships_gemini_batch2.csv,16,OWWA OFW Dependent Scholarship Program (ODSP),Overseas Workers Welfare Administration,skip,86,exact dedupe_key match
scholarships_gemini_batch2.csv,17,OWWA Congressional Migrant Workers Scholarship (CMWSP),Overseas Workers Welfare Administration,skip,87,exact dedupe_key match
scholarships_gemini_batch2.csv,18,Quezon City Scholarship Program (QCSP),Quezon City Government,skip,88,exact dedupe_key match
scholarships_gemini_batch2.csv,19,Manuel L. Quezon Filipino Language and Literature Scholarship Program,Quezon City Government,skip,89,exact dedupe_key match
scholarships_gemini_batch2.csv,20,Australia Awards Scholarships (Philippines),Australian Government,skip,74,exact dedupe_key match
scholarships_gemini_batch2.csv,21,Fulbright-PhilSA Graduate Program,PAEF / PhilSA,skip,90,exact dedupe_key match
scholarships_gemini_batch2.csv,22,Chevening Scholarship,FCDO / UK Government,skip,91,exact dedupe_key match
scholarships_gemini_batch2.csv,23,Global Korea Scholarship (GKS) Graduate,NIIED,skip,64,exact dedupe_key match
scholarships_gemini_batch2.csv,24,Global Korea Scholarship (GKS) Undergraduate,NIIED,skip,65,exact dedupe_key match
scholarships_gemini_batch2.csv,25,CHED-UniFAST Tertiary Education Subsidy (TES),UniFAST / CHED,skip,66,exact dedupe_key match
scholarships_gemini_batch2.csv,26,TESDA Private Education Student Financial Assistance,TESDA,skip,67,exact dedupe_key match
scholarships_gemini_batch2.csv,27,PUP Entrance Scholarship Program,PUP,skip,68,exact dedupe_key match
scholarships_gemini_batch2.csv,28,PUP Student Assistantship Program,PUP,skip,69,exact dedupe_key match
scholarships_gemini_batch2.csv,29,UP College of Law Scholarship Program,UP College of Law,skip,70,exact dedupe_key match
scholarships_gemini_batch2.csv,30,Security Bank External Scholarship Program,Security Bank Foundation,skip,71,exact dedupe_key match
scholarships_gemini_batch2.csv,31,Gokongwei Brothers Foundation STEM-College Scholarship,Gokongwei Brothers Foundation,skip,72,exact dedupe_key match
scholarships_gemini_batch2.csv,32,Megaworld Foundation College Scholarship,Megaworld Foundation,new,,no catalog match
